abr,long_form,long_form_raw
RL,Ringer's lactate,"Ringer's lactate (that is, [[lactated Ringer's solution]])"
RLE,right lower extremity,right [[Human leg|lower extremity]]
RLL,right lower lobe,right lower lobe (of [[lung]])
RLN,recurrent laryngeal nerve;,[[recurrent laryngeal nerve]]; 
RLN,regional lymph node, regional [[lymph node]]
RLQ,right lower quadrant,[[Human abdomen#Regions of the abdomen|right lower quadrant]] (of abdomen)
R&M,Routine + microscopic,[[Urinalysis|Routine + microscopic]] (General analysis of urine)
RML,right middle lobe,right middle lobe (of [[lung]])
RMS,rhabdomyosarcoma,[[rhabdomyosarcoma]]
RMSF,rocky mountain spotted fever,[[rocky mountain spotted fever]]
RNA,ribonucleic acid,[[ribonucleic acid]]
RNP,ribonucleoprotein,[[ribonucleoprotein]]
RNV,radionuclide ventriculography,[[radionuclide ventriculography]]
RNY,Roux-en-Y anastomosis,[[Roux-en-Y anastomosis]]
R/O,rule out,rule out
ROA,right occipital anterior,right occipital anterior (see [[childbirth]])
ROM,range of motion,[[range of motion]] 
ROM,rupture of membranes, rupture of membranes
ROP,right occipital posterior,right occipital posterior (see [[childbirth]]) 
ROP,retinopathy of prematurity, retinopathy of prematurity
ROS,review of systems,review of systems
ROSC,return of spontaneous circulation,[[return of spontaneous circulation]]
RPGN,rapidly progressing glomerulonephritis,[[rapidly progressing glomerulonephritis]]
RPLND,retroperitoneal lymph node dissection,retroperitoneal lymph node dissection
RPR,rapid plasma reagin test,[[rapid plasma reagin]] test
RR,respiratory rate,[[respiratory rate]] 
RRP,Recurrent Respiratory Papillomatosis,[[Laryngeal papillomatosis|Recurrent Respiratory Papillomatosis]]
RRR,regular rate and rhythm,regular rate and rhythm (see [[pulse]])
RS cell,Reed–Sternberg cell,[[Reed–Sternberg cell]]
RSB,Right sternal border,Right sternal border
RSI,rapid sequence induction,[[rapid sequence induction]]
RSV,respiratory syncytial virus,[[respiratory syncytial virus]]
R/t,related to,related to
RT,reverse transcriptase, [[reverse transcriptase]]
RT-PCR,reverse transcriptase polymerase chain reaction,reverse transcriptase polymerase chain reaction
RTA,renal tubular acidosis,[[renal tubular acidosis]]
RTC,return to clinic (appointment for outpatient for next medical examination),return to clinic (appointment for outpatient for next medical examination)
RTS,Revised Trauma Score,[[Revised Trauma Score]]
RTV,ritonavir,[[ritonavir]]
RUE,right upper extremity,right [[Upper limb|upper extremity]]
RUL,right upper lobe,right upper lobe (of [[lung]])
RUQ,right upper quadrant,[[Right upper quadrant (abdomen)|right upper quadrant]] (see also [[Human abdomen#Regions of the abdomen|regions of the abdomen]])
RUTI,recurrent urinary tract infection,recurrent [[urinary tract infection]]
RV,residual volume,[[residual volume]] 
RV,right ventricle, [[right ventricle]]
RVAD,right ventricular assist device,right [[ventricular assist device]]
RVF,right ventricular failure,[[right ventricle|right ventricular failure]]
RVH,right ventricular hypertrophy,[[right ventricular hypertrophy]]
RVR,rapid ventricular rate,rapid ventricular rate ([[tachycardia]])
RVSP,right ventricular systolic pressure,right ventricular systolic [[Blood pressure|pressure]]
RVT,renal vein thrombosis,[[renal vein thrombosis]]
RXN,reaction,reaction
S,sacrum,[[sacrum]]
S&O,salpingo-oophorectomy,salpingo-oophorectomy
SA,sinoatrial node,[[sinoatrial node]]
SAAG,serum–ascites albumin gradient,serum–ascites albumin gradient
SAB,staphylococcal bacteremia,staphylococcal [[bacteremia]] 
SAB,spontaneous abortion," spontaneous abortion (that is, [[miscarriage]])"
SAD,seasonal affective disorder,[[seasonal affective disorder]] 
SAD,subacromial decompression, [[subacromial decompression]]
SAH,subarachnoid hemorrhage,[[subarachnoid hemorrhage]]
SAM,systolic anterior motion of the mitral valve,systolic anterior motion of the [[mitral valve]]
SAN,sinoatrial node,[[sinoatrial node]]
SAPS II,simplified acute physiology score,simplified acute physiology score
SAPS III,simplified acute physiology score,simplified acute physiology score
SAR,seasonal allergic rhinitis,seasonal allergic [[rhinitis]]
Sarc,sarcoidosis,[[sarcoidosis]]
SARS,severe acute respiratory syndrome,[[severe acute respiratory syndrome]]
SB,small bowel,small bowel (see [[small intestine]])
SBE,subacute bacterial endocarditis,subacute bacterial [[endocarditis]]
SBFT,small bowel follow through,[[small bowel follow through]]
SBMA,spinal and bulbar muscular atrophy,[[spinal and bulbar muscular atrophy]]
SBO,small bowel obstruction,[[bowel obstruction|small bowel obstruction]]
SBP,systolic blood pressure,[[systolic blood pressure]] 
SBP,spontaneous bacterial peritonitis, [[spontaneous bacterial peritonitis]]
SBRT,split beam radiation therapy,split beam [[radiation therapy]]
SC,subcutaneous,[[Subcutaneous injection|subcutaneous]] (from [[Latin]] ''[[subcutis]]'')
SCA,spinocerebellar ataxia,[[spinocerebellar ataxia]]
SCAT,sex cord tumor with annular tubes,sex cord tumor with annular tubes
SCC,squamous cell carcinoma,[[squamous cell carcinoma]]
SCD,sequential compression device,[[sequential compression device]] 
SCD,sickle-cell disease, [[sickle-cell disease]] 
SCD,sudden cardiac death, sudden cardiac death
SCI,spinal cord injury,[[spinal cord injury]]
SCID,severe combined immunodeficiency,[[severe combined immunodeficiency]]
SCIWORA,spinal cord injury without radiographic abnormality,[[spinal cord injury without radiographic abnormality]]
SCLC,small cell lung cancer,[[small cell lung cancer]]
scope,microscope or endoscope,[[microscope]] or [[endoscope]]
SCT,sacrococcygeal tumor,sacrococcygeal tumor
S.D.,subdermal,subdermal
SD,standard deviation,[[standard deviation]]
σ,standard deviation,[[standard deviation]]
SDH,subdural hematoma,[[subdural hematoma]]
SDTI,suspected deep tissue injury,suspected deep tissue injury
SE,standard error,[[standard error]] 
SE,side effect, [[adverse effect|side effect]]
Sed,sedimentation,sedimentation (rate) (see [[erythrocyte sedimentation rate]])
SEE,syphilis elimination effort,syphilis elimination effort
Segs,segmented cells,[[neutrophil|segmented cells]]
SEM,standard error of the mean,[[standard error of the mean]] 
SEM,systolic ejection murmur, systolic ejection murmur (see [[heart murmur]])
SERM,selective estrogen receptor modulator,selective estrogen receptor modulator
SERT,serotonin transporter,[[serotonin transporter]]
SFA,superficial femoral artery,[[Femoral artery|superficial femoral artery]] 
SFA,serum folic acid, serum [[folic acid]]
SGA,small for gestational age,[[small for gestational age]]
SG cath,Swan–Ganz catheter,Swan–Ganz catheter (see [[pulmonary artery catheter]])
SG,specific gravity,[[specific gravity]] (in [[urinanalysis]])
SGB,stellate ganglion block,[[stellate ganglion]] block
SGOT,serum glutamic oxaloacetic transaminase,[[Aspartate transaminase|serum glutamic oxaloacetic transaminase]]
SGPT,seruĺ8m glutamic pyruvic transaminase,[[Alanine transaminase|seruĺ8m glutamic pyruvic transaminase]]
SH,"social history (personal habits, living situation, job)","social history (personal habits, living situation, job)"
SHBG,sex hormone-binding globulin,[[sex hormone-binding globulin]]
shob,shortness of breath,shortness of breath (see [[dyspnea]])
SHPT,secondary hyperparathyroidism,[[secondary hyperparathyroidism]]
SHx,surgical history,[[surgical history]]
SI,International System of Units,[[International System of Units]] 
SI,suicidal ideation, [[suicidal ideation]] 
SI,seriously ill, seriously ill 
SI,sacroiliac, [[sacroiliac joint|sacroiliac (joint)]]
SIADH,syndrome of inappropriate antidiuretic hormone,[[syndrome of inappropriate antidiuretic hormone]]
SICU,surgical intensive care unit,surgical [[intensive care unit]]
SIBO,small intestinal bacterial overgrowth,[[small intestinal bacterial overgrowth]]
SID,semel in die meaning once daily. Used only in veterinary medicine.,''semel in die'' meaning once daily. Used only in [[veterinary medicine]].
SIDS,sudden infant death syndrome,[[sudden infant death syndrome]]
SIL,squamous intraepithelial lesion,squamous intraepithelial lesion
SIMV,synchronized intermittent mechanical ventilation,synchronized intermittent [[mechanical ventilation]]
si op. sit,if needed,if needed (from [[Latin]] ''si opus sit'')
SIRS,systemic inflammatory response syndrome,systemic inflammatory response syndrome
SIT,stress inoculation training,stress inoculation training (see [[posttraumatic stress disorder]])
SJS,Stevens–Johnson syndrome,[[Stevens–Johnson syndrome]]
SK,streptokinase,[[streptokinase]]
sl,sublingual,[[sublingual]]
SLE,systemic lupus erythematosus,[[Lupus erythematosus|systemic lupus erythematosus]]
SLEV,St Louis virus,[[Saint Louis encephalitis|St Louis virus]]
SLN,sentinel lymph node biopsy,[[sentinel lymph node|sentinel]] [[lymph node biopsy]]
SLNB,sentinel lymph node biopsy,[[sentinel lymph node|sentinel]] [[lymph node biopsy]]
SLR,straight leg raise,[[straight leg raise]] (see [[Lasègue's sign]])
SLL,small lymphocytic lymphoma,small lymphocytic lymphoma
SLP,speech-language pathologist,speech-language pathologist
SM,multiple sclerosis,[[multiple sclerosis]] (from [[Latin]] ''sclerosis multiplex'') 
SM,submucosal, submucosal
SMA,sequential multiple analysis,[[sequential multiple analysis]] 
SMA-6,six-channel serum multiple analysis,six-channel serum multiple analysis
SMA-7,serum metabolic assay,serum metabolic assay
SMN,statement of medical necessity,statement of medical necessity
SMS,senior medical student,senior medical student
SMT,spinal manipulative therapy,[[spinal manipulative therapy]]
SMV,superior mesenteric vein,[[superior mesenteric vein]]
SN,student nurse ;,student nurse ;  
SN,skilled nursing, skilled nursing
SNB,sentinel node biopsy,sentinel node biopsy ([[ductal carcinoma]])
SNF,skilled nursing facility,[[nursing home|skilled nursing facility]]
SNP,sodium nitroprusside;,[[sodium nitroprusside]]; 
SNP,single nucleotide polymorphism, [[single nucleotide polymorphism]]
SNRI,serotonin–norepinephrine reuptake inhibitor,[[serotonin–norepinephrine reuptake inhibitor]]
SNV,sin nombre virus,sin nombre virus (the most common type of [[hantavirus]])
SO,salpingo-oophoritis,salpingo-oophoritis
SOA,swelling of ankles,swelling of ankles
SOAP,"subjective, objective, assessment, plan","[[SOAP note|subjective, objective, assessment, plan]] (how physicians’ notes may be organized)"
SOB,shortness of breath,shortness of breath (see [[dyspnea]])
SOBOE,shortness of breath on exertion,[[dyspnea|shortness of breath on exertion]]
SOL,space-occupying lesion,space-occupying lesion
Sol,solution,solution
SOOB,send out of bed,send out of bed 
SOOB,sitting out of bed, sitting out of bed
SOS,if needed,if needed (from [[Latin]] ''si opus sit'')
SP,status post,status post
s/p,status post,status post
SPE,streptococcal pyrogenic exotoxin,streptococcal pyrogenic exotoxin
Spec,specimen,specimen
SPECT,single-photon emission computed tomography,[[single-photon emission computed tomography]]
SPEP,serum protein electrophoresis,[[serum protein electrophoresis]]
SPET,single-photon emission tomography,[[single-photon emission computed tomography|single-photon emission tomography]]
Sp. fl.,spinal fluid,spinal fluid (see [[cerebrospinal fluid]])
Sp. gr.,specific gravity,specific gravity
SPS,single point (walking) stick,single point (walking) stick
SQ,subcutaneous,[[Subcutaneous injection|subcutaneous]]
sq,subcutaneous,[[Subcutaneous injection|subcutaneous]]
SR,slow release),slow release (see also [[time release technology (medicine)]])
SROM,spontaneous rupture of membranes,spontaneous rupture of membranes
SRU,shock resuscitation unit,shock resuscitation unit
SS,hemoglobin SS,[[hemoglobin]] SS (HbSS) (see in [[sickle-cell disease]] = SS disease) 
SS,subserosal, subserosal 
SS,Sjogren's Syndrome, Sjogren's Syndrome
S/S,signs and symptoms,[[medical sign|signs]] and [[symptom]]s
S/Sx,signs and symptoms,[[medical sign|signs]] and [[symptom]]s
SSC,secondary sex characteristics,[[secondary sex characteristic]]s
SSE,sterile speculum exam,sterile speculum exam
SSEP,somatosensory evoked potential,[[somatosensory evoked potential]]
SSI,sliding scale insulin,sliding scale insulin
SSKI,potassium iodide solution,potassium iodide solution
SSPE,subacute sclerosing panencephalitis,subacute sclerosing panencephalitis
ssRNA,single-stranded RNA,single-stranded [[RNA]]
SSRI,selective serotonin reuptake inhibitor,[[selective serotonin reuptake inhibitor]]
SSSI,skin and skin structure infection,[[skin and skin structure infection]] (also referred to as acute bacterial skin and skin structure infection - ABSSSI)
SSSS,staphylococcal scalded skin syndrome,[[staphylococcal scalded skin syndrome]]
SSS,sick sinus syndrome,[[sick sinus syndrome]]
ST,sore throat,sore throat  
ST,speech therapy, speech therapy
Staph.,Staphylococcus,''[[Staphylococcus]]''
STD,sexually transmitted disease,[[sexually transmitted disease]]
stat,immediately (from Latin ''statim''),immediately (from Latin ''statim'')
STEC,Shiga toxin–producing Escherichia coli,Shiga toxin–producing ''[[Escherichia coli]]'' (another name for enterohemorrhagic ''E.&nbsp;coli'')
STEMI,ST elevation myocardial infarction,[[ST elevation]] [[myocardial infarction]]
STH,somatotropic hormone,[[somatotropic hormone]]
STI,sexually transmitted infection,[[sexually transmitted infection]] 
STI,soft tissue injury, [[soft tissue injury]]
STN,Subthalamic nucleus,[[Subthalamic nucleus]]
STNR,Symmetrical tonic neck reflex,[[Symmetrical tonic neck reflex]]
STOP,surgical termination of pregnancy,surgical [[abortion|termination of pregnancy]] (''sometimes'' suction termination of pregnancy)
Strep.,Streptococcus,''[[Streptococcus]]''
Strepto.,Streptococcus,''[[Streptococcus]]''
STS,serological test for syphilis,serological test for [[syphilis]] 
STS,soft tissue sarcoma, soft tissue sarcoma
Subq,subcutaneous,[[Subcutaneous tissue|subcutaneous]]
SUI,stress urinary incontinence,[[stress urinary incontinence]]
Supp,suppository,[[suppository]]
SUV,standardized uptake value,[[standardized uptake value]]
SV,seminal vesicle,[[seminal vesicle]] 
SV,stroke volume, [[stroke volume]]
SVC,superior vena cava,[[superior vena cava]]
SVD,spontaneous vaginal delivery,spontaneous vaginal delivery 
SVD,simple vertex delivery, simple vertex delivery
SVE,sterile vaginal examination,sterile vaginal examination
SVG,Saphenous vein graft,[[great saphenous vein|Saphenous vein]] graft
SVI,systemic viral infection,[[viremia|systemic viral infection]]
SVN,small volume nebulizer,small volume nebulizer
SVR,systemic vascular resistance,[[systemic vascular resistance]]
SVT,supraventricular tachycardia,[[supraventricular tachycardia]]
SW,Sturge–Weber syndrome,[[Sturge–Weber syndrome]]
Sx,symptoms,[[symptoms]]
SXA,single-energy X-ray absorptiometer,[[single-energy X-ray absorptiometer]]
SXR,skull x-ray,skull [[radiography|x-ray]]
Sz,seizure,[[seizure]]
T,thoracic vertebrae,[[thoracic vertebrae]]
TA,temporal arteritis,temporal arteritis
T&A,tonsillectomy with adenoidectomy,[[tonsillectomy]] with [[adenoidectomy]]
T&C,type and cross-match,type and [[Cross-matching|cross-match]] (see [[blood transfusion]])
Tab,Tablet,[[Tablet (pharmacy)]]
TAB,therapeutic abortion,therapeutic [[abortion]]
TAH,total abdominal hysterectomy,total abdominal [[hysterectomy]]
TAH-BSO,total abdominal hysterectomy with bilateral salpingo-oophorectomy,total abdominal [[hysterectomy]] with bilateral [[salpingo-oophorectomy]]
TAP,trypsinogen activation peptide,trypsinogen activation peptide
TAPVR,total anomalous pulmonary venous return,total anomalous pulmonary venous return
TAT,thematic apperception test,thematic apperception test
TB,tuberculosis,[[tuberculosis]]
TBC,tuberculosis,[[tuberculosis]] 
TBC,total body crunch, total body crunch
TbEC,Enteric coated tablet,[[Enteric coating|Enteric coated]] tablet
TBG,thyroid-binding globulin,thyroid-binding globulin
TBI,to be intubated,to be intubated 
TBI,total body irradiation, [[total body irradiation]] 
TBI,traumatic brain injury, [[traumatic brain injury]]
TBLC,term birth living child,term [[birth]] living child
TC,traffic crash,[[Car accident|traffic crash]]
TCA,tricyclic antidepressants,[[tricyclic antidepressants]]
TCC,transitional cell carcinoma,[[transitional cell carcinoma]]
TCM,traditional Chinese medicine,[[traditional Chinese medicine]]
TCN,tetracycline,[[tetracycline]]
TCOM,Transcutaneous oxygen measurement,[[Transcutaneous oxygen measurement]]
TCT,thrombin clotting time,[[thrombin clotting time]]
T2DM,type 2 Diabetes mellitus,[[Diabetes mellitus type 2|type 2 Diabetes mellitus]]
Td,tetanus and diphtheria,[[tetanus]] and [[diphtheria]] (combined vaccination)
TDaP,"tetanus, diphtheria, and acellular pertussis combined vaccine","[[tetanus]], [[diphtheria]], and acellular [[pertussis]] combined vaccine"
TdP,Torsades de pointes,[[Torsades de pointes]]
TDS,three times a day,three times a day (from [[Latin]] ''ter die sumendus'')
TdT,terminal deoxynucleotidyl transferase,[[terminal deoxynucleotidyl transferase]]
TD,Tardive dyskinesia,[[Tardive dyskinesia]]
TE,tracheoesophageal,tracheoesophageal
TEB,thoracic electrical bioimpedance,thoracic electrical bioimpedance (see [[impedance cardiography]])
TEC,transient erythroblastopenia of childhood,[[transient erythroblastopenia of childhood]]
TEE,transesophageal echocardiogram,[[transesophageal echocardiogram]]
TEF,tracheoesophageal fistula,tracheoesophageal fistula
TEM,transmission electron microscopy,[[transmission electron microscopy]]
Temp,temperature,temperature
TEN,toxic epidermal necrolysis,toxic epidermal necrolysis
TENS,transcutaneous electrical nerve stimulator,[[transcutaneous electrical nerve stimulator]]
TF,transfer,transfer
T/F,transfer,transfer
TFR,tumor volume to fetal weight ratio,tumor volume to fetal weight ratio
TFTs,thyroid function tests,[[thyroid function tests]]
TGA,transposition of the great arteries,[[transposition of the great arteries]]
TG,triglycerides,[[triglyceride]]s
Tg,thyroglobulin,[[thyroglobulin]]
TGF,tumor growth factor,[[tumor growth factor]]
TGV,transposition of the great vessels,[[transposition of the great vessels]]
T&H,type and hold,type and hold (stay ready for [[blood transfusion]])
THR,total hip replacement,[[Hip replacement|total hip replacement]]
TIA,transient ischemic attack,[[transient ischemic attack]]
TIBC,total iron-binding capacity,[[total iron-binding capacity]]
Tib-Fib,tibia and fibula,[[tibia]] and [[fibula]]
TID,three times a day,three times a day (from [[Latin]] ''ter in die'')
TIN,tubulointerstitial nephritis,[[tubulointerstitial nephritis]]
TIPS,transjugular intrahepatic portosystemic shunt,[[transjugular intrahepatic portosystemic shunt]]
TKA,total knee arthoplasty,[[Knee replacement|total knee arthoplasty]]
TKO,to keep (vein) open for IV therapy,to keep (vein) open for IV therapy
TKR,total knee replacement,[[Knee replacement|total knee replacement]]
TKVO,to keep vein open,to keep vein open
TLA,three letter acronym,three letter acronym
TLC,"total lung capacity, or total lymphocyte count","[[total lung capacity]], or total lymphocyte count"
TLH,total laparoscopic hysterectomy,total laparoscopic hysterectomy
TLR,tonic labyrinthine reflex,[[tonic labyrinthine reflex]]
TM,tympanic membrane,[[Eardrum|tympanic membrane]]
TME,total mesorectal excision,[[total mesorectal excision]]
TNF,tumor necrosis factor,[[tumor necrosis factors|tumor necrosis factor]]
TMJ,temporomandibular joint,[[temporomandibular joint]]
TNG,trinitroglycerin,[[Nitroglycerin|trinitroglycerin]]
TNM,tumor-nodes-metastases,[[TNM staging system|tumor-nodes-metastases]]
TNTC,too numerous to count,too numerous to count
TOA,tuboovarian abscess,tuboovarian abscess
TOC,test-of-cure (+TOC meaning patient cured of disease proven via test),test-of-cure (+TOC meaning patient cured of disease proven via test)
TOD,transoesophageal Doppler,transoesophageal Doppler
TOE,transoesophageal echocardiogram,[[transoesophageal echocardiogram]]
TOF,tetralogy of Fallot,[[tetralogy of Fallot]]
TOP,termination of pregnancy,[[Abortion|termination of pregnancy]]
TOT,transobturator tape,transobturator tape
TP,total protein,[[Serum total protein|total protein]]
TPa,tissue plasminogen activator,[[tissue plasminogen activator]]
TPN,total parenteral nutrition,[[total parenteral nutrition]]
TPR,"temperature, pulse, respiration","[[temperature]], [[pulse]], [[breathing|respiration]]"
TR,tricuspid regurgitation,[[tricuspid regurgitation]]
Tr,tincture,[[tincture]]
TRAM,transverse rectus abdominis myocutaneous flap,transverse rectus abdominis myocutaneous flap ([[TRAM flap]])
TRAP,tartrate-resistant acid phosphatase,[[tartrate-resistant acid phosphatase]]
TRF,"transfer (pronounced ""turf"")","transfer (pronounced ""turf"")"
TRF'd,"transferred (pronounced ""turfed"", as in ""We just turfed Mrs Johnson OTD"")","transferred (pronounced ""turfed"", as in ""We just turfed Mrs Johnson OTD"")"
TRH,thyrotropin-releasing hormone,[[thyrotropin-releasing hormone]]
TRT,testosterone replacement therapy,[[testosterone replacement therapy]]
TRUSP,Transrectal Ultrasonography of the Prostate,[[Transrectal ultrasonography|Transrectal Ultrasonography of the Prostate]]
TRUSP,Transrectal Ultrasound of the Prostate,[[Transrectal ultrasonography|Transrectal Ultrasound of the Prostate]]
TS,tricuspid stenosis,[[tricuspid stenosis]]
Tsp,teaspoon,[[teaspoon]] (5 mL)
TSH,thyroid stimulating hormone,[[Thyroid-stimulating hormone|thyroid stimulating hormone]]
TSH,Thoughts of self-harm,[[Thoughts of self-harm]]
TSHR-Ab,thyrotropin-receptor antibody,thyrotropin-receptor antibody
TSI,Thyroid Stimulating Immunoglobulin,[[Thyroid Stimulating Immunoglobulin]]
T.S.T.H.,too sick to send home,too sick to send home
TT,thrombin time,[[thrombin time]]
TTE,transthoracic echocardiogram,[[transthoracic echocardiogram]]
TTN,transient tachypnea of the newborn,transient tachypnea of the newborn
TTO,to take out (medicines given to patient on discharge from hospital stay),to take out (medicines given to patient on discharge from hospital stay)
TTP,thrombotic thrombocytopenic purpura,[[thrombotic thrombocytopenic purpura]] 
TTP,tender to palpation, tender to palpation
TTR,transthyretin,[[transthyretin]]
TTS,transdermal therapeutic system,[[transdermal therapeutic system]]
TTTS,twin-to-twin transfusion syndrome,[[twin-to-twin transfusion syndrome]]
Tu,tumor,[[tumor]]
TUBA,Trans-umbilical breast augmentation,[[Trans-umbilical breast augmentation]]
TUIP,Transurethral incision of the prostate,[[Transurethral incision of the prostate]]
TUMT,Transurethral microwave thermotherapy,[[Transurethral microwave thermotherapy]]
TUNA,Transurethral needle ablation of the prostate,[[Transurethral needle ablation of the prostate]]
TUR,transurethral resection,[[transurethral resection]]
TURBT,transurethral resection of bladder tumor,[[Bladder cancer#Treatment|transurethral resection of bladder tumor]]
TURP,transurethral resection of the prostate,[[transurethral resection of the prostate]]
TVC,true vocal cord,true vocal cord
TVH,transvaginal hysterectomy,transvaginal [[hysterectomy]]
TVT,tension-free vaginal tape,tension-free vaginal tape
Tx,therapy,therapy 
Tx,transplant, [[Organ transplant|transplant]] 
Tx,treatment, treatment
Txp,transport (by ambulance to or between hospitals),transport (by ambulance to or between hospitals)
UAE,Uterine Artery Embolization,Uterine Artery Embolization (synonym for [[Uterine fibroid|Uterine Fibroid]] Embolization)
UBT,urea breath test,[[urea breath test]]
UC,ulcerative colitis,[[ulcerative colitis]]
UCHD,usual childhood diseases,usual childhood diseases (see [[list of childhood diseases]])
UCTD,Undifferentiated connective tissue disease,[[Undifferentiated connective tissue disease]]
UD,as directed,as directed (from [[Latin]] ''ut dictum'')
UDS,urine drug screening,[[Drug test|urine drug screening]] 
UDS,Undifferentiated sarcoma, Undifferentiated [[sarcoma]]
UE,upper extremity,[[Upper limb|upper extremity]]
U&E,urea and electrolytes,"[[urea]] and [[electrolytes]] (blood test) (for sodium and potassium, and often [[creatinine]])"
UFE,Uterine Fibroid Embolization,[[Uterine fibroid|Uterine Fibroid]] Embolization
UIP,usual interstitial pneumonitis,[[Usual interstitial pneumonia|usual interstitial pneumonitis]]
UGI,upper gastrointestinal,[[Gastrointestinal tract|upper gastrointestinal]]
ULN,upper limit of normal,upper limit of normal
UOP,urinary output,[[Urination|urinary]] output
Ung,ointment,[[ointment]] (from Latin ''unguentum'')
Unk,unknown,unknown
UPJ,ureteropelvic junction,ureteropelvic junction (see [[pyeloplasty]])
URA,unilateral renal agenesis,unilateral [[renal agenesis]]
URI,upper respiratory infection,[[Upper respiratory tract infection|upper respiratory infection]]
URTI,upper respiratory tract infection,[[upper respiratory tract infection]]
US,ultrasonogram,[[Medical ultrasonography|ultrasonogram]]
USG,ultrasonogram,[[Medical ultrasonography|ultrasonogram]]
USO,unilateral salpingo-oophorectomy,unilateral salpingo-oophorectomy
USP,United States Pharmacopeia,[[United States Pharmacopeia]]
USR,unheated serum reagin,unheated serum reagin
USS,ultrasound scan,[[Medical ultrasonography|ultrasound scan]]
UTI,urinary tract infection,[[urinary tract infection]]
UUS,upper uterine segment,upper uterine segment
UVAL,ultraviolet argon laser,[[Argon laser|ultraviolet argon laser]]
V,ventilation,[[Ventilation (physiology)|ventilation]]
VA,visual acuity,[[visual acuity]]
VAC,"vincristine, actinomycin D, and cyclophosphamide (chemotherapy regimen)","vincristine, actinomycin D, and cyclophosphamide (chemotherapy regimen)"
VAD,ventricular assist device,[[ventricular assist device]] 
VAD,"vincristine, adriblastine, dexamethasone","  [[vincristine]], [[adriblastine]], [[dexamethasone]]"
Vag,vaginal,[[vagina]]l
VAI,"cincristine, actinomycin D, and ifosfamide (chemotherapy regimen)","cincristine, actinomycin D, and ifosfamide (chemotherapy regimen)"
VAMP,vesicle-associated membrane protein,[[vesicle-associated membrane protein]] 
VAMP,"vincristine, adriblastine, methylprednisone"," [[vincristine]], [[adriblastine]], [[methylprednisone]]"
VAS,vibroacoustic stimulation,vibroacoustic stimulation 
VAS,visual analog scale, [[visual analog scale]]
VBG,venous blood gases,venous blood gases
VBAC,vaginal birth after caesarean,[[vaginal birth after caesarean]]
VC,vital capacity,[[vital capacity]]
VCTC,voluntary counselling and testing centers,voluntary counselling and testing centers (for [[HIV]]—government centres in India)
vCJD,variant Creutzfeldt–Jakob disease,[[Creutzfeldt–Jakob disease|variant Creutzfeldt–Jakob disease]]
VCUG,voiding cystourethrogram,voiding cystourethrogram
VD,vaginal delivery,[[vagina]]l delivery 
VD,venereal disease, venereal disease (outdated name for [[sexually transmitted disease]]) 
VD,volume of distribution, [[volume of distribution]]
VDRF,ventilator-dependent respiratory failure,[[Mechanical ventilation|ventilator]]-dependent [[respiratory failure]]
VDRL,Venereal Diseases Research Laboratory,[[VDRL|Venereal Diseases Research Laboratory]] (old test for [[syphilis]])
VE,vaginal examination,[[vagina]]l examination (manual examination)
VEB,ventricular ectopic beat,ventricular [[ectopic beat]]
VED,Vacuum Erection Device,Vacuum Erection Device
VEE,Venezuelan equine encephalitis,[[Venezuelan equine encephalitis]]
VF,ventricular fibrillation,[[ventricular fibrillation]]
V-fib,ventricular fibrillation,[[ventricular fibrillation]]
VH,visual hallucinations,[[Visual_hallucinations#Visual|visual hallucinations]] 
VH,vaginal hysterectomy, vaginal hysterectomy
VHL,Von Hippel–Lindau disease,[[Von Hippel–Lindau disease]]
VIN,vulvar intraepithelial neoplasia,vulvar intraepithelial neoplasia
VIR,Vascular Interventional Radiology,Vascular Interventional Radiology
VIP,vasoactive intestinal peptide,[[vasoactive intestinal peptide]]
VLDL,very-low-density lipoprotein,[[very low density lipoprotein|very-low-density lipoprotein]]
VMA,vanillylmandelic acid,[[vanillylmandelic acid]] 
VMA,violent mechanical asphyxia, violent mechanical [[asphyxia]]
VNPI,Van Nuys prognostic scoring index,[[Van Nuys prognostic scoring index]] (for [[ductal carcinoma]])
VO,verbal order,verbal order
VOC,vaso-occlusive crisis,[[vaso-occlusive crisis]]
VOD,volume of distribution,[[volume of distribution]]
VPA,valproic acid,[[valproic acid]]
VPAP,variable positive airway pressure,variable [[positive airway pressure]]
VPB,ventricular premature beats,ventricular premature beats (see [[premature ventricular contraction]])
VPC (PVC),ventricular premature contraction,[[Premature ventricular contraction|ventricular premature contraction]]
VPI,Velopharyngeal insufficiency,[[Velopharyngeal insufficiency]]
V/Q,ventilation/perfusion scan,[[ventilation/perfusion scan]]
VRE,vancomycin-resistant enterococcus,[[vancomycin-resistant enterococcus]]
VRSA,vancomycin-resistant Staphylococcus aureus,[[vancomycin-resistant Staphylococcus aureus|vancomycin-resistant ''Staphylococcus aureus'']]
VS,vital signs,[[vital signs]] 
VS,versus, [[Differential diagnosis|versus]]
VSD,ventricular septal defect,[[ventricular septal defect]]
VSR,ventricular septal rupture,ventricular septal rupture (see [[myocardial rupture]])
VSS,vital signs stable,[[vital signs]] stable
VT,ventricular tachycardia,[[ventricular tachycardia]] 
VT,verotoxin, verotoxin
VTE,venous thromboembolism,[[Thrombosis|venous thromboembolism]]
